Taxon ID	Common Name	Species Name	Genome Length
1618189	Bourbon virus	Thogotovirus bourbonense	10560
37124	Chikungunya virus	Alphavirus chikungunya	11547
46839	Colorado tick fever virus	Coltivirus dermacentoris	29174
12637	Dengue virus	Orthoflavivirus denguei	10770
1216928	Heartland virus	Bandavirus heartlandense	11540
59301	Mayaro virus	Alphavirus mayaro	11411
2169701	Onyong-nyong virus	Alphavirus onyong	11827
118655	Oropouche virus	Orthobunyavirus oropoucheense	11985
11587	Punta Toro virus	Phlebovirus toroense	12634
11029	Ross River virus	Alphavirus rossriver	11802
28292	sandfly fever Sicilian virus	Phlebovirus siciliaense	NA
11033	Semliki Forest virus	Alphavirus semliki	11341
11034	Sindbis virus	Alphavirus sindbis	11671
1608084	Tacheng Tick Virus 2	Uukuvirus tachengense	8844
64286	Usutu virus	Orthoflavivirus usutuense	11066
11082	West Nile virus	Orthoflavivirus nilense	10942
11089	Yellow fever virus	Orthoflavivirus flavi	11026
64320	Zika virus	Orthoflavivirus zikaense	10874
10804	adeno-associated virus 2	Dependoparvovirus primate1	4679
12092	Hepatovirus A	Hepatovirus ahepa	7446
10407	Hepatitis B virus	Orthohepadnavirus hominoidei	3192
3052230	Hepacivirus hominis	Hepacivirus hominis	9431
12475	Hepatitis delta virus	Deltavirus italiense	1680
291484	Hepatitis E virus	Hepatitis E virus	7499
11676	Human immunodeficiency virus 1	Lentivirus humimdef1	9388
11709	Human immunodeficiency virus 2	Lentivirus humimdef2	10059
68887	Torque teno virus	Torque teno virus	3428
1980456	Orthohantavirus andesense	Orthohantavirus andesense	7735
308159	Araucaria virus	Araucaria virus	NA
3052470	Orthohantavirus bayoui	Orthohantavirus bayoui	10861
3052490	Orthohantavirus nigrorivense	Orthohantavirus nigrorivense	6067
169173	Choclo virus	Orthohantavirus chocloense	7844
42097	Isla Vista hantavirus	Isla Vista hantavirus	NA
261204	Itapua hantavirus	Itapua hantavirus	NA
430511	Juquitiba virus	Juquitiba virus	NA
3052489	Orthohantavirus negraense	Orthohantavirus mamorense	7799
238817	Maporal virus	Orthohantavirus maporalense	12106
2259728	Monongahela hantavirus	Monongahela hantavirus	12314
47301	Muleshoe hantavirus	Muleshoe hantavirus	NA
1980442	Orthohantavirus		8504
3052496	Orthohantavirus sangassouense	Orthohantavirus sangassouense	11928
3052499	Orthohantavirus sinnombreense	Orthohantavirus sinnombreense	10583
90961	Lyssavirus australis	Lyssavirus australis	11822
80935	Cache Valley virus	Orthobunyavirus cacheense	12283
35305	California encephalitis virus	Orthobunyavirus encephalitidis	12466
1221391	Cedar virus	Henipavirus cedarense	18162
38767	Lyssavirus duvenhage	Lyssavirus duvenhage	11976
11021	Eastern equine encephalitis virus	Alphavirus eastern	11675
38768	European bat lyssavirus	European bat lyssavirus	11935
2847089	Ghana virus	Henipavirus ghanaense	18530
3052223	Henipavirus hendraense	Henipavirus hendraense	18234
260964	Henipavirus		18134
35511	Jamestown Canyon virus	Orthobunyavirus jamestownense	12461
11072	Japanese encephalitis virus	Orthoflavivirus japonicum	10976
11577	La Crosse virus	Orthobunyavirus lacrosseense	12490
38766	Lyssavirus lagos	Lyssavirus lagos	12016
2971765	Langya virus	Parahenipavirus langyaense	18402
1474807	Mojiang virus	Parahenipavirus mojiangense	18406
12538	Lyssavirus mokola	Lyssavirus mokola	11940
11079	Murray Valley encephalitis virus	Orthoflavivirus murrayense	7012
3052225	Henipavirus nipahense	Henipavirus nipahense	18248
11083	Powassan virus	Orthoflavivirus powassanense	10826
11292	Lyssavirus rabies	Lyssavirus rabies	11927
11580	Snowshoe hare virus	Orthobunyavirus khatangaense	12208
11080	St. Louis encephalitis virus	Orthoflavivirus louisense	10940
45270	Tahyna virus	Orthobunyavirus tahynaense	12446
